domain,shopify,live_checkout,live_confidence,historical_checkouts,historical_count,has_kwikpass,emails,linkedin,instagram,facebook,twitter,youtube,tech_stack,title,lead_score,priority,last_scan,scan_duration,status,notes
duroflexworld.com,True,GoKwik,80,"Shopflo, GoKwik, Razorpay",3,True,"support@duroflexworld.com, grievance@duroflexworld.com",,https://www.instagram.com/duroflexworld?igsh=ZmIzM3VlbmhqM2ht,https://www.facebook.com/share/1CVurS9sck/,https://x.com/Duroflex_world,https://www.youtube.com/@duroflex_world,"Judge.me, Meta Pixel, Google Analytics, Microsoft Clarity, Recharge","Buy Duroflex Mattresses, Sofa, Recliner, Beds & Pillows in India",100,CRITICAL,2026-06-07,20.69,Not Contacted,
srisritattva.com,True,Fastrr,95,"Fastrr, GoKwik, Razorpay",3,False,onlinesupport@srisritattva.com,,https://www.instagram.com/srisritattva/,https://www.facebook.com/SriSriTattva/,https://twitter.com/SriSriTattva,https://www.youtube.com/channel/UC-PiB-Bn8K9KKoxZEyebgWQ,"Judge.me, Google Analytics, Recharge",Sri Sri Tattva,100,CRITICAL,2026-06-07,20.81,Not Contacted,
wellbeingnutrition.com,True,GoKwik,80,"Fastrr, GoKwik, Razorpay",3,True,care@wellbeingnutrition.com,https://in.linkedin.com/company/wellbeing-nutrition,https://www.instagram.com/wellbeing.nutrition,https://www.facebook.com/Wellbeing-Nutrition-107959920549143,https://twitter.com/WBN_India,https://www.youtube.com/channel/UCaXzqAwiiRCOYLLJt0Iv0jA/featured,"Judge.me, Google Analytics, Microsoft Clarity",Wellbeing Nutrition India - Health and Beauty Supplements Online,100,CRITICAL,2026-06-07,20.22,Not Contacted,
nourishmantra.in,True,GoKwik,80,GoKwik,1,True,care@nourishmantra.com,https://www.linkedin.com/company/nourishmantra/?viewAsMember=true,https://www.instagram.com/nourishmantra/,https://www.facebook.com/share/1GVhcwAu8p/?mibextid=wwXIfr,,https://www.youtube.com/@nourishmantra,"Klaviyo, Judge.me, Hotjar","Nourish Mantra- Face Care & Skin Care Products, Beard Oil, Serum Toner",100,CRITICAL,2026-06-07,15.4,Not Contacted,
cukoo.in,True,GoKwik,80,GoKwik,1,True,info@cukoo.in,,https://www.instagram.com/cukoo.in/,https://www.facebook.com/cukoo.in,,,Judge.me,"Cukoo - Shop Women Swimwear, Active Wear, Lingerie Online  – cukoo.in",100,CRITICAL,2026-06-07,24.0,Not Contacted,
monrow.in,True,GoKwik,80,"GoKwik, Razorpay",2,True,"care@monrow.in, monrow_logo_1_130x_2x_d69430df-9900-4609-bcd8-05484197db51_100x@2x.webp, monrow_logo_1_130x_2x_d69430df-9900-4609-bcd8-05484197db51_60x@2x.webp",https://in.linkedin.com/company/monrowshoes,https://www.instagram.com/monrowworld/,https://www.facebook.com/monrowshoes,https://twitter.com/monrowshoes,https://www.youtube.com/channel/UCyIvOzsx4T-2JEuwxl0QSYA,"Google Analytics, Microsoft Clarity","Latest Collection of Women Footwear & Bags❣️ Comfort - Monrow
– Monrow Shoes",100,CRITICAL,2026-06-07,17.15,Not Contacted,
https://giftsgallery.online/,True,FlexyPe,80,FlexyPe,1,False,tohfakart.in@gmail.com,,https://instagram.com/giftsgallery.online?igshid=YmMyMTA2M2Y=,https://www.facebook.com/profile.php?id=100063594595194,,https://www.youtube.com/channel/UCYPudI3PYyimPeuMyisQ6-A,Judge.me,TOHFAKART – Personalized Gifts for Every Special Occasion,100,CRITICAL,2026-06-07,14.78,Not Contacted,
mydesignation.com,True,GoKwik,80,"GoKwik, Razorpay",2,True,care@mydesignation.com,https://www.linkedin.com/company/mydesignation/mycompany/,https://www.instagram.com/mydesignationofficial/?hl=en,https://www.facebook.com/mydesignationofficial/,,https://www.youtube.com/channel/UCtb2ioX_CyGNtwHBTUNVVRA,"Judge.me, Meta Pixel, Google Analytics, Microsoft Clarity, Intercom",MyDesignation: Fashion Apparels for Men,100,CRITICAL,2026-06-07,15.83,Not Contacted,
https://erobold.com/,True,Shopflo,80,"Shopflo, Fastrr",2,False,xxx@xxx.xxx,https://in.linkedin.com/company/erobold-clothing-pvt-ltd,https://www.instagram.com/erobold_,https://www.facebook.com/eroboldhome,https://twitter.com/erobold_,https://www.youtube.com/@erobold,"Judge.me, Microsoft Clarity",Erobold® India | Bold Men’s Premium Intimate Wear,100,CRITICAL,2026-06-07,13.37,Not Contacted,
https://chefling.in/,True,FlexyPe,80,"Fastrr, FlexyPe",2,False,"sales@chefling.in, foxcomfoods@gmail.com",https://www.linkedin.com/company/101671512/admin/feed/posts/,https://www.instagram.com/cheflingindia/,https://www.facebook.com/chefling.in,https://twitter.com/CheflingIndia,,"Judge.me, Microsoft Clarity",Chefling - Do It Yourself Kits - As Seen on Shark Tank India Season 3,100,CRITICAL,2026-06-07,14.48,Not Contacted,
maharishiayurvedaindia.com,True,GoKwik,80,"GoKwik, Razorpay",2,True,"abc@xyz.com, group_216587_2x_100x_2x_8999fc73-f7e5-4f55-9987-24f5367826b5_80x@2x.webp",https://in.linkedin.com/company/maharishi-ayurveda-india,https://www.instagram.com/maharishiayurveda.official/,https://www.facebook.com/maharishiayurveda.official,https://twitter.com/maharishi_india?lang=en,https://www.youtube.com/channel/UCvfDBg42FmZFZ3VmXEPVx3A,"Judge.me, Google Analytics",Buy Maharishi Ayurveda – Authentic Ayurvedic Supplements Online,100,CRITICAL,2026-06-07,12.69,Not Contacted,
bellavitaorganic.com,True,GoKwik,80,"Shopflo, GoKwik, Fastrr",3,True,"abc@xyz.com, shop@bellavitaorganic.com",,https://www.instagram.com/bellavita.official,https://www.facebook.com/bellavitaorganic,https://twitter.com/bellavita_org?s=08,https://www.youtube.com/c/BellaVitaOrganicIndia,"Klaviyo, Judge.me, Meta Pixel, Google Analytics, Hotjar",Buy Luxury Perfume for Men and Women I Best Perfume Gift Set 2024,100,CRITICAL,2026-06-07,17.55,Not Contacted,
durexindia.com,True,GoKwik,80,GoKwik,1,True,hello@durexindiawos.com,,https://www.instagram.com/durex.india/,https://www.facebook.com/DurexIndia,https://twitter.com/DurexIndia,https://www.youtube.com/DurexIndia,"Google Analytics, Hotjar, Microsoft Clarity, Intercom","Buy Best Quality Condoms Online in India
 – Durex India",100,CRITICAL,2026-06-07,17.66,Not Contacted,
https://violetvibes.in/,True,GoKwik,80,"GoKwik, FlexyPe",2,False,"care@violetvibes.in, ecom-swiper@11.css",,https://instagram.com/violetvibes_vv?igshid=YmMyMTA2M2Y=,https://facebook.com,,,"Judge.me, Google Analytics",VioletVibes,100,CRITICAL,2026-06-07,19.19,Not Contacted,
naturaltein.in,True,GoKwik,80,GoKwik,1,True,info@naturaltein.in,,https://www.instagram.com/naturaltein_india/,https://www.facebook.com/naturalteinindia,,https://www.youtube.com/channel/UCtTbjMyfJO2mZOZvPIiARug,Google Analytics,"NATURALTEIN-India's Best Protein Brand
 – naturaltein",100,CRITICAL,2026-06-07,13.53,Not Contacted,
cosmix.in,True,GoKwik,80,"Fastrr, GoKwik",2,True,info@cosmix.in,https://www.linkedin.com/company/cosmixwellness/,https://www.instagram.com/cosmixwellness/,https://www.facebook.com/thecosmixway/,,https://www.youtube.com/@cosmixwellness,"Judge.me, Google Analytics, Hotjar",Cosmix – Premium Plant-Based Protein and Superfood Supplements,100,CRITICAL,2026-06-07,15.34,Not Contacted,
bblunt.com,True,GoKwik,80,"Shopflo, GoKwik, Razorpay",3,True,care@bblunt.com,,https://www.instagram.com/bbluntindia,https://www.facebook.com/bbluntindia,https://twitter.com/bbluntindia,https://www.youtube.com/c/BBLUNTIndia/videos,"Judge.me, Meta Pixel, Google Analytics, Microsoft Clarity","BOGO Sale Ending Soon | Buy 1 Get 1 Free | Buy 2 Pay for 1
 – BBlunt",100,CRITICAL,2026-06-07,17.64,Not Contacted,
astrotalk.store,True,GoKwik,80,"Shopflo, GoKwik",2,True,support.store@astrotalk.com,,https://www.instagram.com/astrotalk/?hl=en,,,,"Klaviyo, Judge.me, Meta Pixel, Google Analytics, Microsoft Clarity","Astrotalk Store – Karungali, Rudraksha, Pyrite & Crystal Jewellery",100,CRITICAL,2026-06-07,15.48,Not Contacted,
https://in.teabox.com/,True,Shopflo,80,"Shopflo, GoKwik, Fastrr, Razorpay",4,True,"abc@xyz.com, help@teabox.com",,https://instagram.com/teabox.tea,https://facebook.com/teabox.tea,https://in.teabox.com/collections/autumn-flush,,"Klaviyo, Judge.me, Meta Pixel, Google Analytics, Gorgias",Teabox: Buy Delicious Indian Teas Online - Delivered Fresh,100,CRITICAL,2026-06-07,11.81,Not Contacted,
https://maniarrs.com/,True,FlexyPe,80,FlexyPe,1,False,supportsales@maniarrs.in,,https://www.instagram.com/maniarrs/,https://www.facebook.com/maniarrskhakhra/,https://twitter.com/maniarrs_hsm,,"Klaviyo, Judge.me, Google Analytics","Maniarr's khakhra Wheat Chips | healthychip | Roast snacks| good snack
– Maniarrs",100,CRITICAL,2026-06-07,7.47,Not Contacted,
drsheths.com,True,GoKwik,80,"GoKwik, Razorpay",2,True,"support@drsheths.com, example@email.com",,https://www.instagram.com/drsheths/,https://www.facebook.com/drsheths,,https://www.youtube.com/@dr.sheths3011,"Judge.me, Meta Pixel, Google Analytics, Microsoft Clarity","Buy 2 Get 1 FREE on Skincare Products | B2G1
 – Dr Sheth's",100,CRITICAL,2026-06-07,10.24,Not Contacted,
ramrajcotton.in,True,GoKwik,80,"Shopflo, GoKwik",2,True,"support@starapps.studio, info@stagheaddesigns.com, online@ramrajcotton.net",,https://www.instagram.com/ramrajcottonofficial/,https://www.facebook.com/RamrajCottonofficial,https://twitter.com/Ramrajofficial,https://www.youtube.com/user/ramrajcottonmedia,"Klaviyo, Judge.me, Google Analytics, Hotjar, Microsoft Clarity, Gorgias","Online Clothing Store for Dhoti, Shirts, Sarees, More - Ramraj Cotton",100,CRITICAL,2026-06-07,6.48,Not Contacted,
thenamestrings.in,True,Fastrr,80,"Shopflo, Fastrr, Cashfree",3,False,"hello@thenamestrings.in, info@stagheaddesigns.com",,https://instagram.com/namestrings,,,,"Judge.me, Meta Pixel, Google Analytics, Hotjar, Microsoft Clarity",Name Strings | Make it memorable,100,CRITICAL,2026-06-07,7.35,Not Contacted,
domesticappliances.philips.co.in,True,GoKwik,80,"Shopflo, GoKwik",2,True,philipshomeliving.shopsupport.india@versuni.com,,https://www.instagram.com/philipshomelivingindia/,https://www.facebook.com/philipshomelivingindia/,https://twitter.com/PhilipsHomeIN,https://www.youtube.com/c/PhilipsHomeLiving,"Judge.me, Meta Pixel, Google Analytics, Microsoft Clarity",Philips Domestic Appliances – Smart Solutions for Every Home,100,CRITICAL,2026-06-07,14.62,Not Contacted,
reneecosmetics.in,True,Fastrr,95,"Shopflo, Fastrr, Razorpay",3,False,hi@reneecosmetics.in,,https://www.instagram.com/reneeofficial/,https://www.facebook.com/ReneeCosmetics,https://twitter.com/renee_cosmetics,https://www.youtube.com/@reneecosmeticsofficial,"Judge.me, Google Analytics, Recharge",Renee Cosmetics - Reinventing Beauty,100,CRITICAL,2026-06-07,9.36,Not Contacted,
ashandamber.in,True,Razorpay,80,"Shopflo, Razorpay",2,False,info@ashandamber.in,,https://www.instagram.com/ashandamber.studio/,https://www.facebook.com/ashandamber.studio,,https://www.youtube.com/@ashandamber.studio,"Judge.me, Microsoft Clarity","ash and amber | modern western silhouettes for everyday elegance
 – Ash And Amber",100,CRITICAL,2026-06-07,12.76,Not Contacted,
https://www.mountainor.in/,True,FlexyPe,80,"GoKwik, FlexyPe",2,True,care@monoskin.health,,https://www.instagram.com/monoskin.health,https://www.facebook.com/monoskin.health/#,,https://www.youtube.com/@monoskinhealth,"Judge.me, Google Analytics, Microsoft Clarity",Mono,100,CRITICAL,2026-06-07,20.11,Not Contacted,
aqualogica.in,True,GoKwik,80,"GoKwik, Razorpay",2,True,"care@aqualogica.in, care@bblunt.com, shop@aqualogicaprod.myshopify.com",,https://www.instagram.com/aqualogica.in/,https://www.facebook.com/aqualogica.in/,https://twitter.com/i/flow/login?redirect_after_login=%2Faqualogica,https://www.youtube.com/channel/UCUq8lpm2Akn9thoGCMPWpCA,"Judge.me, Meta Pixel, Google Analytics, Microsoft Clarity",Aqualogica Sale Live with Buy1 Get1 Free. Use Code-GLOW,100,CRITICAL,2026-06-07,24.09,Not Contacted,
acriine.in,True,Razorpay,80,"Shopflo, Simpl, Razorpay",3,False,,,https://www.instagram.com/acriineshop/,https://www.facebook.com/acriine.shop,,https://www.youtube.com/@Acriineshop,Google Analytics,Acriine Fashion,100,CRITICAL,2026-06-07,12.35,Not Contacted,
toreto.in,True,GoKwik,80,"Fastrr, GoKwik",2,False,"info@stagheaddesigns.com, info@toreto.in",https://www.linkedin.com/company/toreto-india/,https://www.instagram.com/toreto.india/?hl=en,https://www.facebook.com/toreto.india/,,https://www.youtube.com/@ToretoIndiaOfficial,"Google Analytics, Hotjar, Microsoft Clarity",Toreto India | Premium AM to PM Audio & Lifestyle Tech,100,CRITICAL,2026-06-07,8.66,Not Contacted,
elare.in,True,Razorpay,80,"FlexyPe, Razorpay",2,False,info@elare.in,,https://www.instagram.com/elare.timelessdecor?igsh=em5oc3Fjd3p1eG05&utm_source=qr,https://www.facebook.com/elaredecor/,,https://youtube.com/@elaretimelessdecor?si=_U5Rq00Py8F710PQ,"Judge.me, Microsoft Clarity",Elare,100,CRITICAL,2026-06-07,10.06,Not Contacted,
superyou.in,True,GoKwik,80,GoKwik,1,True,"marketing@superyou.in, hypedesk@superyou.in",,https://www.instagram.com/be.superyou,,,https://youtube.com/@be.superyou?si=LC2vtMyoRiIbeK1V,"Judge.me, Google Analytics, Microsoft Clarity",SuperYou by Ranveer Singh | Protein snacks and Fermented Yeast Protein,100,CRITICAL,2026-06-07,11.98,Not Contacted,
houseofceramics.in,True,GoKwik,80,"GoKwik, Razorpay",2,True,query@houseofceramics.in,,https://www.instagram.com/houseofceramics.in/,https://www.facebook.com/houseofceramics.in/,,https://www.youtube.com/@houseofceramics,"Google Analytics, Recharge","House of Ceramics | Best Ceramic Crockery in Gurgaon, India | Ceramic",100,CRITICAL,2026-06-07,16.06,Not Contacted,
theindusvalley.in,True,GoKwik,80,"Shopflo, GoKwik",2,True,help@theindusvalley.in,https://www.linkedin.com/company/theindusvalley/,https://www.instagram.com/theindusvalley/,https://www.facebook.com/official.indusvalley,,https://www.youtube.com/c/TheIndusValleyNaturalCookware/featured,"Judge.me, Microsoft Clarity, Recharge",The Indus Valley - 100% Healthy Cookware | Toxin-free,100,CRITICAL,2026-06-07,17.84,Not Contacted,
skylee.in,True,GoKwik,80,"Shopflo, GoKwik",2,False,care@skylee.in,,https://www.instagram.com/shopskylee/,https://www.facebook.com/people/Shopskylee/61580698045354/,,https://www.youtube.com/@shopskylee,"Judge.me, Google Analytics, Microsoft Clarity",Kurtas & Co-Ord Sets for Women | Ethnic Wear | Skylee,100,CRITICAL,2026-06-07,21.32,Not Contacted,
vahdam.in,True,GoKwik,80,"GoKwik, Razorpay",2,False,help@vahdam.com,https://www.linkedin.com/company/vahdam-teas/,https://www.instagram.com/vahdamindia/,https://www.facebook.com/vahdamindia,,,"Judge.me, Google Analytics, Microsoft Clarity","Premium Wellness Products, Tea Bags & Herbal Infusions | VAHDAM® India",100,CRITICAL,2026-06-07,23.81,Not Contacted,
thedeconstruct.in,True,GoKwik,80,"Shopflo, GoKwik",2,True,"wecare@thedeconstruct.in, %20wecare@thedeconstruct.in",https://www.linkedin.com/company/the-deconstruct,https://www.instagram.com/deconstruct_skincare/,https://www.facebook.com/deconstructhq,,https://www.youtube.com/channel/UCPBXXrn7tw20A6JldPuXEUg,"Judge.me, Meta Pixel, Google Analytics, Hotjar, Microsoft Clarity",Deconstruct | Science-Backed Gentle Skincare Products,100,CRITICAL,2026-06-07,17.42,Not Contacted,
boxmine.in,True,Fastrr,95,"Shopflo, GoKwik, Fastrr",3,True,order@boxmine.in,https://www.linkedin.com/company/boxmineofficial/?viewAsMember=true,https://www.instagram.com/boxmineofficial/,https://www.facebook.com/profile.php?id=61586279695085,,https://www.youtube.com/@BOXMINEOFFICIAL,,,100,CRITICAL,2026-06-07,10.41,Not Contacted,
sleepsia.in,True,GoKwik,80,GoKwik,1,True,"info@stagheaddesigns.com, info@sleepsia.com, cc@sleepsia.in, cc@sleepsia.com",,https://www.instagram.com/sleepsiaindia/,https://www.facebook.com/sleepsiapillow,,https://www.youtube.com/@sleepsiaindia3646,"Judge.me, Google Analytics","Memory Foam Pillows for Sleeping for Cervical, Lumbar & Knee Pain
 – Sleepsia India Pvt Ltd",100,CRITICAL,2026-06-07,16.55,Not Contacted,
petsway.in,True,GoKwik,80,GoKwik,1,True,contact@petsway.in,https://www.linkedin.com/company/petswaypetcare/posts/?feedView=all,https://www.instagram.com/petsway.in/,https://www.facebook.com/petsway.in,,https://www.youtube.com/@petswaypetcare,"Judge.me, Google Analytics, Microsoft Clarity, Recharge",Pets Way,100,CRITICAL,2026-06-07,12.05,Not Contacted,
somethingsbrewing.in,True,Razorpay,80,Razorpay,1,False,"sales@somethingsbrewing.in, hello@somethingsbrewing.in, support@somethingsbrewing.in",https://in.linkedin.com/company/somethings-brewing-india ,https://www.instagram.com/smthingsbrewing?igsh=MWMxODBhanp6bTRiNw==,https://www.facebook.com/smthingsbrewing/,https://x.com/Somethingsbrwng,https://www.youtube.com/c/SomethingsBrewing,"Klaviyo, Judge.me, Meta Pixel, Google Analytics, Microsoft Clarity",Find Premium Coffee Machines Online | Something’s Brewing – Something's Brewing,100,CRITICAL,2026-06-07,19.56,Not Contacted,
myfrido.com,True,GoKwik,80,GoKwik,1,True,"help@myfrido.com, 750a7e063a6f7f2e752d9f6250ee4707@o4509122694807552.ingest.us.sentry.io",https://www.linkedin.com/company/myfrido,https://www.instagram.com/myfrido/,https://www.facebook.com/myfrido/,https://x.com/ganeshsonawane,,,Shop Innovative Ergonomic Products for Pain Relief & Comfort,100,CRITICAL,2026-06-07,10.9,Not Contacted,
crossword.in,True,Razorpay,80,"Shopflo, GoKwik, Fastrr, Razorpay",4,False,estore@crossword.in,https://www.linkedin.com/company/crosswordbookstores/,https://www.instagram.com/crosswordbookstores/,https://www.facebook.com/Crosswordbookstores,https://x.com/crossword_book,,"Klaviyo, Judge.me, Microsoft Clarity","Buy Books Online – Bestsellers, Novels, Stationary & Gifts",100,CRITICAL,2026-06-07,23.0,Not Contacted,
sigor.in,True,GoKwik,80,GoKwik,1,False,connect@sigor.in,,https://ttps//www.instagram.com/sigor.in,https://www.facebook.com/profile.php?id=61578873133098,,https://youtube.com/@sigor_in?si=cwmTBfdW9RR3QLdE,"Meta Pixel, Google Analytics, Microsoft Clarity",Buy 925 Sterling Silver Jewellery Online for Women | Sigor,98,CRITICAL,2026-06-07,11.98,Not Contacted,
shop.resmed.co.in,True,GoKwik,80,GoKwik,1,False,help@resmed.com,https://www.linkedin.com/company/resmed-india/,,https://www.facebook.com/ResMedIndia,https://twitter.com/resmedindia,https://www.youtube.com/@ResMedIndia1,"Yotpo, Google Analytics, Microsoft Clarity",Resmed India,98,CRITICAL,2026-06-07,21.21,Not Contacted,
https://www.denzofashion.com/,True,Shopflo,80,"Shopflo, Fastrr",2,False,,,https://www.instagram.com/denzo.fashion/,https://www.facebook.com/denzofashion/,,https://www.youtube.com/@Denzo.fashion,"Judge.me, Microsoft Clarity",Denzo Fashion| Stylish Bags for Everyday Fashion | Handbags for Women,97,CRITICAL,2026-06-07,18.01,Not Contacted,
myborosil.com,True,Razorpay,80,Razorpay,1,False,"marketing@newsletterborosil.com, abc@xyz.com, example@email.com, myborosil@borosil.com",https://www.linkedin.com/company/borosillimited/mycompany/verification/,https://www.instagram.com/borosilandyou/,https://www.facebook.com/borosilandyou/,https://twitter.com/borosilandyou,https://www.youtube.com/channel/UCwvJukI_hr0Zl-NZbl4VPpg,"Judge.me, Microsoft Clarity","Buy Glassware, Appliances, Lunchboxes, Bottles, & More At MyBorosil",97,CRITICAL,2026-06-07,21.69,Not Contacted,
myraymond.com,True,GoKwik,80,GoKwik,1,False,support@myraymond.com,,https://www.instagram.com/myraymond/,https://www.facebook.com/MyRaymondOfficial,https://twitter.com/MyRaymond_com,,"Klaviyo, Google Analytics","Shop for Raymond, Park Avenue, ColorPlus, Parx online

        – MyRaymond",97,CRITICAL,2026-06-07,19.79,Not Contacted,
amrasa.in,True,Razorpay,80,Razorpay,1,False,support@amrasa.com,https://www.linkedin.com/company/amrasa/,https://www.instagram.com/amrasa_/,https://facebook.com/,,,Judge.me,Amrasa,96,CRITICAL,2026-06-07,12.03,Not Contacted,
https://shalvie.com/,True,FlexyPe,80,FlexyPe,1,False,hello@shalvie.com,,https://instagram.com/theshalvie/,,https://twitter.com/shalvieofficial,,,Shalvie,95,CRITICAL,2026-06-07,9.49,Not Contacted,
bajaao.com,True,Razorpay,80,"Shopflo, Razorpay",2,False,,,https://www.instagram.com/bajaao/,https://www.facebook.com/bajaao/,https://x.com/bajaao,https://www.youtube.com/c/bajaao,"Klaviyo, Judge.me, Microsoft Clarity, Recharge",Buy Musical Instruments & Audio Equipment Online in India at Bajaao – BAJAAO.COM,94,CRITICAL,2026-06-07,17.24,Not Contacted,
reflexions.in,True,Razorpay,80,Razorpay,1,False,"support@gist-apps.com, info@reflexions.in, abc@xyz.com",,https://www.instagram.com/reflexions.in/,https://www.facebook.com/reflexions.in,,https://www.youtube.com/@reflexionsunisexsalon,"Klaviyo, Yotpo, Google Analytics, Recharge","Since 2007!, Providing Genuine Professional Personal Care Products
– Reflexions Salon",94,CRITICAL,2026-06-07,11.76,Not Contacted,
perfumenetwork.in,True,GoKwik,80,"Shopflo, GoKwik",2,False,,,https://www.instagram.com/perfumenetworkindia/,,https://twitter.com/perfumenetworki,https://www.youtube.com/channel/UC64osG3B8XviRGcgW2x2T6A,"Klaviyo, Google Analytics, Microsoft Clarity","Buy Perfumes Online in India — 100% Original, 1,600+ Fragrances
    
    
    
      – Perfume Network India",93,CRITICAL,2026-06-07,14.24,Not Contacted,
superbottoms.com,True,,0,"GoKwik, Cashfree",2,True,"hello@superbottoms.com, info@stagheaddesigns.com, geet.k@superbottoms.com, connect@superbottoms.com, dimple@superbottoms.com",https://www.linkedin.com/company/superbottoms/,https://www.instagram.com/superbottoms/,https://www.facebook.com/superbottoms/,https://x.com/Superbottoms?s=20,https://www.youtube.com/@SuperbottomsClothDiapersIndia,"Judge.me, Google Analytics, Microsoft Clarity",SuperBottoms: India's #1 Reusable Cloth Diapering Brand for Baby,78,HIGH,2026-06-07,22.13,Not Contacted,
headsupfortails.com,True,,0,"Shopflo, GoKwik",2,True,"hello@headsupfortails.com, aa4cacd33be28673d7e69be559ce7ad7@o4506196830715904.ingest.us.sentry.io, u003eorders@headsupfortails.com, abcd@gmail.com, orders@headsupfortails.com",https://in.linkedin.com/company/heads-up-for-tails,https://instagram.com/headsupfortails,https://facebook.com/headsupfortails,,https://youtube.com/shorts/oKZGazYzkX0?feature=share,"Klaviyo, Judge.me, Google Analytics","HUFT Pay Day Sale: Up to 30% Off Dog & Cat Food, Treats & More
 – Heads Up For Tails",78,HIGH,2026-06-07,14.19,Not Contacted,
soleselect.in,True,Fastrr,95,Fastrr,1,False,,,https://www.instagram.com/soleselect.in/,https://www.facebook.com/profile.php?id=61584643889821,,,,sole select,75,HIGH,2026-06-07,20.65,Not Contacted,
homeessentials.in,True,,0,"Shopflo, GoKwik",2,True,customer@homeessentials.in,https://www.linkedin.com/company/homeessentialsindia,https://www.instagram.com/homeessentials.insta/,,,https://www.youtube.com/@Homeessentials.youtube,"Judge.me, Microsoft Clarity","Good Quality & Affordable Home Organization, Kitchen
      
      
      
        – Home Essentials",72,HIGH,2026-06-07,20.46,Not Contacted,
